stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1114,1114,Ramon Llull - García Donato,C RAMON LLULL 29 - VALÈNCIA,39.4768143464429,-0.346870078692388,,,0,
1116,1116,Dr. Manuel Candela (imparell) - Blasco Ibáñez,C DOCTOR MANUEL CANDELA 77 - VALÈNCIA,39.4729377333285,-0.348412002215135,,,0,
1117,1117,Dr. Manuel Candela - Sants Just i Pastor,C DOCTOR MANUEL CANDELA 53 - VALÈNCIA,39.4704837098723,-0.349458385744061,,,0,
1118,1118,Dr. Manuel Candela (imparell) - Rodríguez de Cepeda,C DOCTOR MANUEL CANDELA 29 - VALÈNCIA,39.4683763265145,-0.350267431035727,,,0,
1119,1119,Dr. Manuel Candela (imparell) - Port,C DOCTOR MANUEL CANDELA 3 - VALÈNCIA,39.465908187445,-0.351272040456535,,,0,
112,112,Ramon Llull - Leandro de Saralegui,C RAMON LLULL 5 - VALÈNCIA,39.4752173133944,-0.347545370778752,,,0,
1120,1120,Tomàs de Montañana (parell) - Astúries,C PADRE TOMAS MONTAÑANA 22 - VALÈNCIA,39.4636079284537,-0.35230762013987,,,0,
1125,1125,Comte de Torrefiel - Mestre Marçal,C CONDE DE TORREFIEL 28 - VALÈNCIA,39.4932532920652,-0.375937054687836,,,0,
1126,1126,Comte de Torrefiel - Josep Esteve,C CONDE DE TORREFIEL 74 - VALÈNCIA,39.495825823985,-0.376812275679414,,,0,
1127,1127,Comte de Torrefiel - Riu Bidasoa,C CONDE DE TORREFIEL 114 - VALÈNCIA,39.4979164432832,-0.377216531189376,,,0,
1128,1128,Mercat de Torrefiel,C SANTO DOMINGO SAVIO 94 (DAVANT) - VALÈNCIA,39.4979393936278,-0.376233981458268,,,0,
1129,1129,Sant Doménec Savio - Josep Esteve,C SANTO DOMINGO SAVIO 51 - VALÈNCIA,39.4960230657864,-0.375515911671209,,,0,
113,113,Blasco Ibáñez - Ramon Llull,AV BLASCO IBAÑEZ 73 (BARDISSA) - VALÈNCIA,39.4743155607505,-0.348547888415248,,,0,
1130,1130,Pere Patrici Mey - Felip Rinaldi,C PEDRO IMPRESOR PATRICIO MEY 29 - VALÈNCIA,39.4925156270022,-0.3770885570689,,,0,
1131,1131,Pintor Jacomart - Comte de Torrefiel,C PINTOR JACOMART 29 - VALÈNCIA,39.4964676445607,-0.377254841134174,,,0,
1132,1132,Músic Espí - Gravador Fabregat,PL MUSICO ESPI 1 (DAVANT) - VALÈNCIA,39.4969694033726,-0.374198232943215,,,0,
1133,1133,Tossal del Rei,C CONDE DE LUMIARES 26 (DAVANT) - VALÈNCIA,39.4963162124682,-0.372348753498856,,,0,
1134,1134,Blasco Ibáñez (parell) - José María Haro,AV BLASCO IBAÑEZ 182 - VALÈNCIA,39.470659099561,-0.338255240041202,,,0,
1136,1136,Palma de Gandia - Venta del Moro,C PALMA DE GANDIA S/N - BENIFARAIG,39.5296060126748,-0.383968515571999,,,0,
1137,1137,Ferrer i Bignè - Clavells,C FERRER Y BIGNE 21 - BENIFARAIG,39.5276439492337,-0.385803888600548,,,0,
1138,1138,Ferrer i Bigné - Santíssima Creu,C FERRER Y BIGNE 67 - BENIFARAIG,39.5295571342721,-0.385665749203191,,,0,
1139,1139,Ferrer i Bigné - Nelo el Fariner,C FERRER Y BIGNE 97 - BENIFARAIG,39.5307887093221,-0.385478005934089,,,0,
114,114,Blasco Ibáñez - Vinalopó,AV BLASCO IBAÑEZ 55 (JARDÍ) - VALÈNCIA,39.4750468906244,-0.351091228641343,,,0,
1140,1140,Camí de Montcada - Gasolinera,CAMI MONCADA 341 - VALÈNCIA,39.5122945742823,-0.386464265446322,,,0,
1141,1141,Germans Maristes (imparell) - Fonteta Sant Lluís,AV HERMANOS MARISTAS 14 (DAVANT) - VALÈNCIA,39.4516238629282,-0.367827968919416,,,0,
1143,1143,Centre de Salut Fonteta,C GRABADOR JORDAN 74 - VALÈNCIA,39.4425077269245,-0.368161746375685,,,0,
1145,1145,Campus de Burjassot,AV VICENTE ANDRES ESTELLES S/N - BURJASSOT,39.509630084362,-0.421699646530297,,,0,
1148,1148,Font d'en Corts (imparell) - Alqueria Reial,C FUENTE EN CORTS 67-69 - VALÈNCIA,39.4474794413012,-0.359573877151436,,,0,
