entityID,entityType,dayType<TextUnrestricted>,sourceRef<TextUnrestricted>,location<geo:json>,occupation<Number>,trend<TextUnrestricted>,name<TextUnrestricted>,zone<TextUnrestricted>,occupationpercent<Number>,capacity<Number>,hour<Number>,sceneRef<TextUnrestricted>,TimeInstant<DateTime>
parking_75,OffStreetParking,Sabado,parking_75,,,,,,37.27,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Domingo,parking_13,,,,,,65.66,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Sabado,parking_34,,,,,,74.5,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Domingo,parking_34,,,,,,92.2,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Laborable,parking_8,,,,,,60.03,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Sabado,parking_5,,,,,,80.99,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Domingo,parking_5,,,,,,64.39,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Domingo,parking_77,,,,,,96.21,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Domingo,parking_13,,,,,,74.27,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Laborable,parking_5,,,,,,80.05,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Laborable,parking_75,,,,,,87.53,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Domingo,parking_75,,,,,,86.18,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Laborable,parking_13,,,,,,66.92,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Sabado,parking_34,,,,,,52.21,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Domingo,parking_75,,,,,,46.21,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Sabado,parking_7,,,,,,49.88,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Sabado,parking_50,,,,,,36.59,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Sabado,parking_7,,,,,,55.04,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Sabado,parking_78,,,,,,39.8,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Laborable,parking_7,,,,,,72.91,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Laborable,parking_78,,,,,,39.53,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Domingo,parking_13,,,,,,60.91,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Laborable,parking_120,,,,,,75.4,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Sabado,parking_77,,,,,,36.98,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Sabado,parking_34,,,,,,90.08,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Laborable,parking_13,,,,,,71.4,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Laborable,parking_6,,,,,,25.51,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Sabado,parking_34,,,,,,65.06,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Sabado,parking_78,,,,,,32.35,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Sabado,parking_13,,,,,,72.62,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Domingo,parking_79,,,,,,77.58,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Laborable,parking_75,,,,,,39.69,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Sabado,parking_34,,,,,,84.27,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Laborable,parking_13,,,,,,53.29,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Sabado,parking_50,,,,,,35.65,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Domingo,parking_5,,,,,,40.22,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Sabado,parking_8,,,,,,72.18,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Sabado,parking_77,,,,,,84.36,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Domingo,parking_50,,,,,,40.39,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Laborable,parking_7,,,,,,54.56,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Domingo,parking_8,,,,,,64.27,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Domingo,parking_8,,,,,,66.72,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Sabado,parking_79,,,,,,71.58,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Laborable,parking_13,,,,,,61.99,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Laborable,parking_50,,,,,,31.0,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Laborable,parking_6,,,,,,34.48,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Laborable,parking_7,,,,,,33.06,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Domingo,parking_13,,,,,,61.25,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Laborable,parking_5,,,,,,86.89,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Domingo,parking_78,,,,,,33.24,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Laborable,parking_7,,,,,,39.11,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Domingo,parking_77,,,,,,92.94,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Sabado,parking_7,,,,,,76.24,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Laborable,parking_77,,,,,,75.11,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Domingo,parking_78,,,,,,24.04,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Sabado,parking_77,,,,,,37.44,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Domingo,parking_7,,,,,,37.12,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Laborable,parking_50,,,,,,30.99,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Laborable,parking_77,,,,,,57.12,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Laborable,parking_34,,,,,,61.64,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Sabado,parking_120,,,,,,84.51,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Domingo,parking_50,,,,,,51.84,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Sabado,parking_77,,,,,,87.63,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Laborable,parking_34,,,,,,52.01,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Laborable,parking_78,,,,,,38.81,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Domingo,parking_77,,,,,,82.53,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Sabado,parking_50,,,,,,36.4,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Sabado,parking_5,,,,,,66.24,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Laborable,parking_50,,,,,,53.25,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Domingo,parking_77,,,,,,99.33,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Laborable,parking_13,,,,,,73.03,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Sabado,parking_75,,,,,,37.51,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Domingo,parking_34,,,,,,93.52,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Sabado,parking_8,,,,,,57.01,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Sabado,parking_7,,,,,,63.69,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Sabado,parking_78,,,,,,24.92,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Sabado,parking_13,,,,,,76.0,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Laborable,parking_7,,,,,,33.87,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Sabado,parking_8,,,,,,69.23,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Sabado,parking_7,,,,,,65.59,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Laborable,parking_13,,,,,,58.78,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Laborable,parking_120,,,,,,77.71,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Sabado,parking_5,,,,,,59.22,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Laborable,parking_50,,,,,,27.97,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Domingo,parking_77,,,,,,97.92,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Sabado,parking_78,,,,,,43.25,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Domingo,parking_6,,,,,,81.53,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Domingo,parking_79,,,,,,76.71,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Domingo,parking_6,,,,,,82.26,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Sabado,parking_8,,,,,,79.52,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Sabado,parking_6,,,,,,67.7,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Domingo,parking_79,,,,,,77.22,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Sabado,parking_75,,,,,,72.88,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Domingo,parking_50,,,,,,51.83,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Domingo,parking_120,,,,,,94.39,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Sabado,parking_120,,,,,,83.06,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Sabado,parking_79,,,,,,68.91,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Sabado,parking_120,,,,,,82.89,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Domingo,parking_7,,,,,,36.99,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Laborable,parking_120,,,,,,67.2,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Domingo,parking_13,,,,,,62.84,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Domingo,parking_77,,,,,,89.16,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Domingo,parking_78,,,,,,29.6,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Laborable,parking_34,,,,,,70.76,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Sabado,parking_78,,,,,,35.24,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Domingo,parking_8,,,,,,60.15,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Domingo,parking_77,,,,,,82.43,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Laborable,parking_75,,,,,,80.7,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Domingo,parking_7,,,,,,47.28,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Laborable,parking_120,,,,,,86.2,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Domingo,parking_77,,,,,,95.51,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Sabado,parking_79,,,,,,70.57,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Laborable,parking_8,,,,,,68.86,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Sabado,parking_78,,,,,,23.61,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Laborable,parking_13,,,,,,54.06,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Sabado,parking_75,,,,,,43.86,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Sabado,parking_8,,,,,,71.17,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Laborable,parking_120,,,,,,69.2,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Laborable,parking_79,,,,,,66.61,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Laborable,parking_7,,,,,,61.57,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Sabado,parking_5,,,,,,85.53,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Laborable,parking_79,,,,,,74.6,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Domingo,parking_6,,,,,,28.14,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Laborable,parking_79,,,,,,68.43,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Laborable,parking_6,,,,,,24.96,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Laborable,parking_120,,,,,,54.9,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Domingo,parking_79,,,,,,70.94,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Laborable,parking_8,,,,,,76.17,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Sabado,parking_34,,,,,,60.14,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Domingo,parking_75,,,,,,47.05,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Laborable,parking_79,,,,,,67.48,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Sabado,parking_75,,,,,,75.46,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Domingo,parking_50,,,,,,31.41,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Laborable,parking_50,,,,,,50.91,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Domingo,parking_75,,,,,,58.3,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Domingo,parking_50,,,,,,53.44,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Domingo,parking_6,,,,,,71.94,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Laborable,parking_8,,,,,,75.21,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Domingo,parking_5,,,,,,36.39,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Domingo,parking_34,,,,,,67.08,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Domingo,parking_50,,,,,,40.15,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Domingo,parking_75,,,,,,90.69,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Domingo,parking_7,,,,,,45.69,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Sabado,parking_6,,,,,,85.22,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Domingo,parking_75,,,,,,99.48,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Domingo,parking_77,,,,,,58.55,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Laborable,parking_8,,,,,,61.41,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Domingo,parking_77,,,,,,92.47,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Laborable,parking_50,,,,,,28.77,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Sabado,parking_50,,,,,,57.52,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Domingo,parking_7,,,,,,48.1,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Sabado,parking_78,,,,,,23.57,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Sabado,parking_77,,,,,,80.09,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Domingo,parking_79,,,,,,76.75,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Laborable,parking_6,,,,,,25.56,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Domingo,parking_120,,,,,,92.32,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Sabado,parking_6,,,,,,79.72,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Domingo,parking_5,,,,,,74.11,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Sabado,parking_34,,,,,,81.91,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Laborable,parking_7,,,,,,44.38,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Laborable,parking_120,,,,,,94.23,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Sabado,parking_6,,,,,,25.54,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Domingo,parking_34,,,,,,64.99,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Laborable,parking_79,,,,,,74.66,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Laborable,parking_75,,,,,,82.65,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Laborable,parking_50,,,,,,29.47,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Laborable,parking_34,,,,,,64.96,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Domingo,parking_79,,,,,,77.24,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Sabado,parking_77,,,,,,86.73,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Domingo,parking_50,,,,,,51.96,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Domingo,parking_79,,,,,,70.69,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Sabado,parking_5,,,,,,69.41,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Laborable,parking_75,,,,,,38.6,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Domingo,parking_79,,,,,,70.93,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Domingo,parking_6,,,,,,68.15,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Sabado,parking_75,,,,,,94.38,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Laborable,parking_6,,,,,,62.86,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Laborable,parking_34,,,,,,52.3,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Sabado,parking_5,,,,,,94.18,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Sabado,parking_13,,,,,,72.16,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Domingo,parking_79,,,,,,71.58,,,N/A,2024-05-21 00:00:00+00:00
